atmoProfile	aeroProfile	GroundReflectance	AOT	band	aX	bX	cX	MeanSRRAD	MaxSRRAD	MinSRRAD	StdSRRAD	MedianSRRAD	MeanSRTOA	MaxSRTOA	MinSRTOA	StdSRTOA	MedianSRTOA	MeanSRRADG	MaxSRRADG	MinSRRADG	StdSRRADG	MedianSRRADG	MeanSRTOAG	MaxSRTOAG	MinSRTOAG	StdSRTOAG	MedianSRTOAG
1	1	-1	0.2	5	0.00410000002012	0.0137200001627	0.0487399995327	367.857142857	407.0	316.0	18.0482276251	369.5	1344.17857143	391.0	316.0	61.2827484297	1350.0	26.974640369	1322.0	0.0	104.592701151	273.0	97.7400390877	4231.0	0.0	374.906000488	1135.0
1	1	-1	0.2	6	0.0160900000483	0.00328000006266	0.0161400008947	207.0625	277.0	148.0	31.3452209988	206.0	2946.23660714	258.0	148.0	421.40769865	2941.0	18.4392018973	934.0	0.0	75.1991273379	118.0	256.013661544	11428.0	0.0	1025.63365339	2216.0
1	1	-1	0.2	7	0.052009999752	0.00130000000354	0.0083799995482	140.15625	221.0	74.0	36.4676673851	138.0	5889.47767857	188.0	74.0	1455.07213231	5837.0	11.783202369	769.0	0.0	54.1102091436	51.0	478.316748948	26596.0	0.0	2114.59004544	3090.0
1	1	-1	0.3	1	0.00295999995433	0.17324000597	0.207949995995	134.964285714	221.0	59.0	38.4893140484	135.5	393.392857143	264.0	59.0	66.3962478962	394.0	9.97503396739	1083.0	0.0	56.9356557674	16.0	28.0428795478	1794.0	0.0	123.842773642	201.0
1	1	-1	0.3	2	0.00265999999829	0.12364000082	0.177110001445	132.066964286	217.0	56.0	38.2440468953	132.5	330.96875	241.0	56.0	65.3945710002	333.0	9.86607574829	1131.0	0.0	57.4297462033	15.0	23.871878427	1829.0	0.0	112.893244131	147.0
1	1	-1	0.3	3	0.00270000007004	0.0682500004768	0.130640000105	143.589285714	229.0	70.0	36.9821514796	142.5	335.883928571	220.0	70.0	68.9779009041	333.5	11.1588267844	1185.0	0.0	59.8932773886	31.0	25.2322013893	2058.0	0.0	120.212980331	169.0
1	1	-1	0.3	4	0.00295000011101	0.0406999997795	0.0992399975657	132.223214286	218.0	57.0	38.4926268036	132.0	348.267857143	206.0	57.0	85.0365973885	347.5	10.2595854567	1231.0	0.0	59.0041579149	20.0	26.1088337392	2479.0	0.0	134.549373879	144.0
1	1	-1	0.3	5	0.00424000015482	0.0181499999017	0.0620599985123	374.491071429	414.0	321.0	18.4548171875	376.5	1358.48660714	391.0	321.0	60.8199171377	1364.0	27.4421359945	1337.0	0.0	106.434318358	278.0	98.50962779	4105.0	0.0	376.889455263	1150.0
1	1	-1	0.3	6	0.0163800008595	0.00474999984726	0.022290000692	209.035714286	281.0	149.0	31.8138920047	208.0	2940.21875	258.0	149.0	412.75616657	2936.0	18.6315465343	943.0	0.0	76.0298765113	118.0	253.337793107	10823.0	0.0	1009.14618265	2223.0
1	1	-1	0.3	7	0.0528800003231	0.00190000003204	0.0117800002918	141.794642857	224.0	75.0	37.0359715086	140.0	5855.98214286	188.0	75.0	1417.3148089	5812.0	11.9272049574	779.0	0.0	54.820943483	51.0	469.88407141	24679.0	0.0	2050.26105707	3107.0
1	1	-1	0.4	1	0.00316000008024	0.196439996362	0.21713000536	132.714285714	225.0	52.0	41.0800456799	133.0	406.276785714	264.0	52.0	69.9306046098	407.0	9.79640580651	1120.0	0.0	58.4326251773	5.0	28.8543368396	1832.0	0.0	127.747539688	203.0
1	1	-1	0.4	2	0.00282000005245	0.141680002213	0.18830999732	129.415178571	219.0	49.0	40.4632984272	130.0	338.861607143	241.0	49.0	68.5442606558	341.0	9.6643285947	1163.0	0.0	58.6765464265	5.0	24.3388569822	1858.0	0.0	115.718725953	146.0
1	1	-1	0.4	3	0.00283999997191	0.0801699981093	0.143920004368	142.491071429	232.0	65.0	38.7867327132	141.5	343.107142857	220.0	65.0	71.6741581672	340.5	11.0870734421	1211.0	0.0	60.9832247957	25.0	25.679580155	2072.0	0.0	122.642804312	169.0
1	1	-1	0.4	4	0.00307999993674	0.0491200014949	0.112970001996	131.236607143	221.0	53.0	40.0369505572	131.0	354.991071429	206.0	53.0	87.6875027274	354.5	10.1856378411	1251.0	0.0	59.9671598018	14.0	26.4656254032	2471.0	0.0	136.460111123	144.0
1	1	-1	0.4	5	0.00438999990001	0.0231199990958	0.0740500018001	381.513392857	422.0	327.0	18.9246579302	383.5	1375.56696429	391.0	327.0	60.5574179843	1381.5	27.9411084054	1354.0	0.0	108.414171132	282.0	99.507981833	4008.0	0.0	379.848632396	1167.0
1	1	-1	0.4	6	0.0166800003499	0.00627999985591	0.0278999991715	211.1875	284.0	150.0	32.3319919104	210.0	2938.9375	258.0	150.0	405.477073098	2936.0	18.8327428517	954.0	0.0	76.9015954538	119.0	251.35036709	10336.0	0.0	996.364054477	2232.0
1	1	-1	0.4	7	0.0537599995732	0.00252000009641	0.0148700000718	143.459821429	227.0	75.0	37.6049506615	141.0	5832.52232143	188.0	75.0	1385.10651648	5796.0	12.0724735115	789.0	0.0	55.5406811883	51.0	463.271757777	23181.0	0.0	1999.32521014	3126.0
1	1	-1	0.5	1	0.00337999989279	0.22214999795	0.225290000439	130.053571429	228.0	44.0	43.8528055964	130.5	420.397321429	264.0	44.0	73.6885833373	421.0	9.58603174187	1161.0	0.0	60.1183894038	1.0	29.737789378	1874.0	0.0	131.973810865	205.0
1	1	-1	0.5	2	0.00300000002608	0.16167999804	0.198280006647	126.794642857	222.0	41.0	42.9834142417	127.0	348.084821429	241.0	41.0	72.1332283123	350.0	9.45927289624	1199.0	0.0	60.1993608392	1.0	24.8849236187	1893.0	0.0	118.972866823	144.0
1	1	-1	0.5	3	0.00300000002608	0.0933400020003	0.155739992857	141.714285714	235.0	60.0	40.8539271961	140.5	352.008928571	220.0	60.0	74.8117274439	349.5	11.0419971012	1242.0	0.0	62.3737688424	17.0	26.2437528222	2095.0	0.0	125.651419913	170.0
1	1	-1	0.5	4	0.00322999991477	0.0584000013769	0.125239998102	130.53125	224.0	49.0	41.8495275004	130.5	363.34375	206.0	49.0	90.9683650676	363.5	10.1378163906	1278.0	0.0	61.2277430232	8.0	26.945004576	2475.0	0.0	139.042129173	144.0
1	1	-1	0.5	5	0.00455999979749	0.0284100007266	0.0847600027919	390.008928571	432.0	334.0	19.4362490575	392.0	1398.45089286	391.0	334.0	60.6517967222	1404.0	28.5500847673	1377.0	0.0	110.825286824	288.0	100.933183017	3940.0	0.0	384.499018359	1189.0
1	1	-1	0.5	6	0.0169799998403	0.00784999970347	0.0330899991095	213.232142857	287.0	151.0	32.8576426592	212.0	2939.61160714	258.0	151.0	399.017785194	2937.0	19.0319747049	964.0	0.0	77.7679667099	120.0	249.74295857	9927.0	0.0	985.794118217	2242.0
