atmoProfile,aeroProfile,GroundReflectance,AOT,band,aX,bX,cX,MeanSRRAD,MaxSRRAD,MinSRRAD,StdSRRAD,MeanSRTOA,MaxSRTOA,MinSRTOA,StdSRTOA
1,1,-1,0.4,7,0.0537599995732,0.00252000009641,0.0148700000718,69.5718098037,599.0,13.0,57.9946441477,2932.35685555,587.0,13.0,57.664002119
1,1,-1,0.5,1,0.00337999989279,0.22214999795,0.225290000439,20.1655542786,686.0,1.0,70.4648792942,224.844794245,655.0,1.0,57.019638421
1,1,-1,0.5,2,0.00300000002608,0.16167999804,0.198280006647,20.0801969148,683.0,1.0,69.6985100152,159.912067937,655.0,1.0,59.6666004663
1,1,-1,0.5,3,0.00300000002608,0.0933400020003,0.155739992857,39.8235446871,676.0,1.0,67.263016036,161.932764984,643.0,1.0,60.0973101036
1,1,-1,0.5,4,0.00322999991477,0.0584000013769,0.125239998102,29.8975424328,679.0,1.0,68.5294786085,140.114761978,671.0,1.0,65.6751905883
1,1,-1,0.5,5,0.00455999979749,0.0284100007266,0.0847600027919,317.356181489,740.0,66.0,64.8470083687,1165.95556157,762.0,66.0,68.1116048085
1,1,-1,0.5,6,0.0169799998403,0.00784999970347,0.0330899991095,141.983048975,637.0,26.0,59.5014066101,2031.98980065,689.0,26.0,64.6913954202
1,1,-1,0.5,7,0.0546699985862,0.00316000008024,0.0176999997348,70.1128613419,608.0,13.0,58.8990086273,2942.10546322,587.0,13.0,57.664002119
1,1,-1,0.6,1,0.00361000001431,0.250539988279,0.232570007443,17.7972065064,712.0,1.0,72.5795715373,226.589628271,655.0,1.0,57.019638421
1,1,-1,0.6,2,0.00319000007585,0.183750003576,0.207200005651,17.7633928571,707.0,1.0,71.6876325845,158.036040267,655.0,1.0,59.6666004663
1,1,-1,0.6,3,0.00316000008024,0.107819996774,0.166329994798,32.4044488154,696.0,1.0,70.4594674373,160.639956462,643.0,1.0,60.0973101036
1,1,-1,0.6,4,0.00337999989279,0.0686900019646,0.136350005865,24.1119607496,696.0,1.0,71.1569985367,138.576147012,671.0,1.0,65.6751905883
1,1,-1,0.6,5,0.00473000016063,0.0341500006616,0.0944999977946,323.322080534,756.0,64.0,66.714497469,1186.74219855,762.0,64.0,68.1116048085
1,1,-1,0.6,6,0.0173000004143,0.00949000008404,0.0379300005734,143.031028996,645.0,25.0,60.4615973539,2043.23138039,689.0,25.0,64.6913954202
1,1,-1,0.6,7,0.0555900000036,0.00380999990739,0.020320000127,70.6534266708,616.0,12.0,59.8166348993,2954.33198705,587.0,12.0,57.664002119
1,1,-1,0.7,1,0.00386000005528,0.28180000186,0.239099994302,16.9856678748,739.0,1.0,74.6655343049,228.241181931,655.0,1.0,57.019638421
1,1,-1,0.7,2,0.00338999996893,0.208000004292,0.215210005641,16.8106435644,731.0,1.0,73.4744434964,155.166316743,655.0,1.0,59.6666004663
1,1,-1,0.7,3,0.00334000005387,0.123800002038,0.175879999995,25.3890945456,718.0,1.0,73.7057458607,159.709539648,643.0,1.0,60.0973101036
1,1,-1,0.7,4,0.0035500000231,0.0800699964166,0.146500006318,21.0877828854,716.0,1.0,73.2390838891,137.22839131,671.0,1.0,65.6751905883
1,1,-1,0.7,5,0.00490000005811,0.0403099991381,0.103430002928,328.8945202,771.0,61.0,68.572006685,1206.90408416,762.0,61.0,68.1116048085
1,1,-1,0.7,6,0.0176199991256,0.0111800003797,0.0424599982798,144.032150592,654.0,24.0,61.4258990784,2054.80577042,689.0,24.0,64.6913954202
1,1,-1,0.7,7,0.0565400011837,0.00448000011966,0.0227700006217,71.214998453,625.0,12.0,60.7646954034,2969.28884702,587.0,12.0,57.664002119
1,1,-1,0.8,1,0.00413999985904,0.316100001335,0.24498000741,16.9365386315,770.0,1.0,77.0670198284,230.66277515,655.0,1.0,57.019638421
1,1,-1,0.8,2,0.00362000009045,0.234559997916,0.222440004349,16.7197500442,759.0,1.0,75.697183596,153.110756277,655.0,1.0,59.6666004663
1,1,-1,0.8,3,0.00353000010364,0.141090005636,0.184569999576,21.4194550035,741.0,1.0,76.0843539737,158.23125884,643.0,1.0,60.0973101036
1,1,-1,0.8,4,0.00372999999672,0.0926200002432,0.155799999833,19.4627773603,736.0,1.0,75.0430891674,135.216396305,671.0,1.0,65.6751905883
1,1,-1,0.8,5,0.00509000010788,0.0467999987304,0.11153999716,335.599004376,789.0,58.0,70.68018475,1230.96210882,762.0,58.0,68.1116048085
1,1,-1,0.8,6,0.0179600007832,0.0129199996591,0.0467300005257,145.161791681,663.0,23.0,62.4561828925,2068.83989348,689.0,23.0,64.6913954202
1,1,-1,0.8,7,0.0575000010431,0.00516999978572,0.0250700004399,71.7726750354,634.0,11.0,61.7251484379,2985.75921588,587.0,11.0,57.664002119
1,1,-1,0.9,1,0.00443999981508,0.353650003672,0.250270009041,17.0299239745,802.0,1.0,79.5234959484,232.846385476,655.0,1.0,57.019638421
1,1,-1,0.9,2,0.00386000005528,0.263559997082,0.228990003467,16.7450605552,787.0,1.0,77.8123559862,149.610054588,655.0,1.0,59.6666004663
1,1,-1,0.9,3,0.00374000007287,0.160109996796,0.19251999259,19.5547814268,766.0,1.0,78.3077823201,156.751353651,643.0,1.0,60.0973101036
1,1,-1,0.9,4,0.00392000004649,0.105930000544,0.164350003004,18.5583451202,757.0,1.0,76.8729949758,133.004718441,671.0,1.0,65.6751905883
1,1,-1,0.9,5,0.00528999976814,0.053860001266,0.119089998305,342.465064754,808.0,56.0,72.8979909401,1256.01566368,762.0,56.0,68.1116048085
1,1,-1,0.9,6,0.0183000005782,0.0147200003266,0.0507499985397,146.233269979,672.0,22.0,63.4854729363,2082.93020133,689.0,22.0,64.6913954202
