atmoProfile	aeroProfile	GroundReflectance	AOT	band	aX	bX	cX	MeanSRRAD	MaxSRRAD	MinSRRAD	StdSRRAD	MedianSRRAD	MeanSRTOA	MaxSRTOA	MinSRTOA	StdSRTOA	MedianSRTOA	MeanSRRADG	MaxSRRADG	MinSRRADG	StdSRRADG	MedianSRRADG	MeanSRTOAG	MaxSRTOAG	MinSRTOAG	StdSRTOAG	MedianSRTOAG
1	1	-1	0.3	1	0.00304000009783	0.12771999836	0.174209997058	0.944607363962	3.0	0.0	0.231576441057	1.0	118.523949169	90.0	0.0	1.88076077443	126.0	54.4731884923	368.0	0.0	110.519548452	1.0	197.354092352	844.0	0.0	243.309181277	132.0
1	1	-1	0.3	2	0.00312000000849	0.0703300014138	0.12771999836	17.6411426089	38.0	0.0	6.77092102125	18.0	122.936244162	79.0	0.0	3.68742454095	128.0	90.5245265818	870.0	0.0	188.095036131	18.0	251.264091075	1803.0	0.0	393.760073455	137.0
1	1	-1	0.3	3	0.00340999988839	0.0427299998701	0.0982400029898	11.8282828283	26.0	0.0	4.44606741895	13.0	97.679265776	51.0	0.0	2.86536378776	104.0	85.3760084866	763.0	0.0	176.388012819	13.0	260.82320346	1873.0	0.0	435.104802993	114.0
1	1	-1	0.3	4	0.00500999996439	0.0224900003523	0.0662200003862	288.480503964	424.0	0.0	76.5407825441	303.0	1156.30183556	336.0	0.0	26.3058207871	1215.0	246.841394422	1013.0	0.0	222.495528522	299.0	960.113314744	3454.0	0.0	806.748630867	1138.0
1	1	-1	0.3	5	0.023199999705	0.00439999997616	0.0207899995148	128.244053438	188.0	0.0	33.9212451957	136.0	2433.4557402	154.0	0.0	11.7280580243	2566.0	149.053622492	714.0	0.0	150.701603697	136.0	2656.82211542	10988.0	0.0	2487.87566722	2566.0
1	1	-1	0.3	6	0.0632499977946	0.00209999992512	0.0117800002918	45.2321060063	77.0	0.0	12.6401386968	48.0	2334.24904964	64.0	0.0	5.38076949254	2456.0	84.8549830855	910.0	0.0	117.23882714	48.0	3913.57048834	30614.0	0.0	4836.18403779	2694.0
1	1	-1	0.4	1	0.00325000006706	0.147809997201	0.185570001602	0.944172911915	1.0	0.0	0.22958750907	1.0	115.949929402	90.0	0.0	1.88076077443	123.0	53.98061267	380.0	0.0	114.15647327	1.0	201.380240781	876.0	0.0	253.331289299	130.0
1	1	-1	0.4	2	0.00329999998212	0.0835099965334	0.141069993377	9.86162702292	31.0	0.0	5.87738764644	9.0	121.412403606	79.0	0.0	3.68742454095	126.0	88.8911096178	897.0	0.0	194.967464112	9.0	255.156021821	1831.0	0.0	402.374313655	136.0
1	1	-1	0.4	3	0.0035800000187	0.0521100014448	0.11196000129	5.37916802433	20.0	0.0	3.57970766778	6.0	95.4504181601	51.0	0.0	2.86536378776	102.0	84.0336898362	783.0	0.0	181.975075458	6.0	264.019616555	1893.0	0.0	442.134691757	112.0
1	1	-1	0.4	4	0.00522000016645	0.0284199994057	0.0785299986601	294.644292386	434.0	0.0	78.3205310126	309.0	1178.19821875	336.0	0.0	26.3058207871	1238.0	252.096713705	1035.0	0.0	227.708120163	305.0	972.804307551	3412.0	0.0	808.340738129	1161.0
1	1	-1	0.4	5	0.0236699990928	0.00582000007853	0.026040000841	129.472140762	190.0	0.0	34.3329847219	137.0	2444.96502661	154.0	0.0	11.7280580243	2579.0	150.87325098	725.0	0.0	152.946053827	137.0	2634.55777053	10541.0	0.0	2428.06182636	2579.0
1	1	-1	0.4	6	0.0643900036812	0.0027799999807	0.0148600004613	45.284783317	78.0	0.0	12.7079863956	48.0	2355.83881829	64.0	0.0	5.38076949254	2479.0	85.8223865178	923.0	0.0	119.024796249	48.0	3857.80523073	28268.0	0.0	4654.55649935	2717.0
1	1	-1	0.5	1	0.00346000003628	0.170149996877	0.195680007339	0.944172911915	1.0	0.0	0.22958750907	1.0	111.568589117	90.0	0.0	1.88076077443	119.0	53.3615992179	390.0	0.0	117.019285355	1.0	203.839311508	906.0	0.0	262.938558606	125.0
1	1	-1	0.5	2	0.00349000003189	0.0981300026178	0.152950003743	3.29955468665	23.0	0.0	3.62664895173	1.0	119.388074291	79.0	0.0	3.68742454095	124.0	87.51880851	924.0	0.0	201.782794178	1.0	258.950514553	1861.0	0.0	411.497984858	134.0
1	1	-1	0.5	3	0.00375999999233	0.0625300034881	0.124229997396	1.48332790268	13.0	0.0	1.29360790055	1.0	92.8681438036	51.0	0.0	2.86536378776	99.0	83.1576755928	804.0	0.0	187.566786665	1.0	267.253123849	1916.0	0.0	449.936821747	110.0
1	1	-1	0.5	4	0.00543999997899	0.0348800010979	0.0895600020885	300.924188118	445.0	0.0	80.1258005969	316.0	1201.51808407	336.0	0.0	26.3058207871	1263.0	257.487068135	1058.0	0.0	233.145247064	311.0	986.982851542	3382.0	0.0	811.96827622	1186.0
