atmoProfile,aeroProfile,GroundReflectance,AOT,band,aX,bX,cX,MeanSRRAD,MaxSRRAD,MinSRRAD,StdSRRAD,MeanSRTOA,MaxSRTOA,MinSRTOA,StdSRTOA
1,1,-1,0.4,7,0.0537599995732,0.00252000009641,0.0148700000718,106.599729983,714.0,4.0,93.9458351937,4286.66897141,524.0,4.0,37.7665351967
1,1,-1,0.5,1,0.00337999989279,0.22214999795,0.225290000439,54.0370391705,707.0,1.0,114.467646871,283.751776714,572.0,1.0,31.3533033323
1,1,-1,0.5,2,0.00300000002608,0.16167999804,0.198280006647,52.911391129,706.0,1.0,111.97690531,216.380520953,565.0,1.0,32.3451852987
1,1,-1,0.5,3,0.00300000002608,0.0933400020003,0.155739992857,76.914296515,716.0,7.0,106.458543693,229.787255184,556.0,7.0,32.6184066019
1,1,-1,0.5,4,0.00322999991477,0.0584000013769,0.125239998102,63.5219020017,722.0,1.0,108.246740799,212.735735887,577.0,1.0,35.6649436816
1,1,-1,0.5,5,0.00455999979749,0.0284100007266,0.0847600027919,382.077691172,822.0,36.0,78.2764794809,1369.88547127,721.0,36.0,47.3228404167
1,1,-1,0.5,6,0.0169799998403,0.00784999970347,0.0330899991095,193.823631912,721.0,3.0,90.4824304447,2667.18509685,636.0,3.0,45.7226985468
1,1,-1,0.5,7,0.0546699985862,0.00316000008024,0.0176999997348,107.73249748,724.0,4.0,95.4012667908,4270.12250504,524.0,4.0,37.7665351967
1,1,-1,0.6,1,0.00361000001431,0.250539988279,0.232570007443,52.4851760513,734.0,1.0,118.200219007,288.512460397,572.0,1.0,31.3533033323
1,1,-1,0.6,2,0.00319000007585,0.183750003576,0.207200005651,51.0943620392,731.0,1.0,115.55006486,217.432324669,565.0,1.0,32.3451852987
1,1,-1,0.6,3,0.00316000008024,0.107819996774,0.166329994798,71.3493663594,737.0,1.0,111.549340549,231.385928499,556.0,1.0,32.6184066019
1,1,-1,0.6,4,0.00337999989279,0.0686900019646,0.136350005865,58.8098610311,740.0,1.0,112.637646994,213.720042483,577.0,1.0,35.6649436816
1,1,-1,0.6,5,0.00473000016063,0.0341500006616,0.0944999977946,389.871669787,839.0,33.0,80.3496384319,1391.28663954,721.0,33.0,47.3228404167
1,1,-1,0.6,6,0.0173000004143,0.00949000008404,0.0379300005734,195.729718102,731.0,1.0,91.9015440881,2670.76590222,636.0,1.0,45.7226985468
1,1,-1,0.6,7,0.0555900000036,0.00380999990739,0.020320000127,108.868708597,734.0,3.0,96.8811693559,4259.78317612,524.0,3.0,37.7665351967
1,1,-1,0.7,1,0.00386000005528,0.28180000186,0.239099994302,52.2215275778,763.0,1.0,121.638841482,293.528114199,572.0,1.0,31.3533033323
1,1,-1,0.7,2,0.00338999996893,0.208000004292,0.215210005641,50.5914710541,756.0,1.0,118.462859823,217.577145737,565.0,1.0,32.3451852987
